FileID,audio_path,audio_length,window_start,window_length,Start,End,Start.1,End.1,Start.2,End.2,Start.3,End.3,Start.4,End.4
UWUECIWmlqM,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_UWUECIWmlqM.mp3,10.0,0,10.0,,,,,,,,,,
bUVN9Frr6gE,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_bUVN9Frr6gE.mp3,10.0,0,10.0,,,,,,,,,,
NMsLCVRu7Kc,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_NMsLCVRu7Kc.mp3,10.0,0,10.0,,,,,,,,,,
2BD8daiPVew,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_2BD8daiPVew.mp3,10.0,0,10.0,,,,,,,,,,
Vfz2xlKXc3I,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_Vfz2xlKXc3I.mp3,10.0,0,10.0,,,,,,,,,,
8m8xP5Nyos8,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_8m8xP5Nyos8.mp3,9.1,0,9.1,,,,,,,,,,
H4sQIqXv2FM,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_H4sQIqXv2FM.mp3,10.0,0,10.0,,,,,,,,,,
E-iYq3x8938,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_E-iYq3x8938.mp3,10.0,0,10.0,,,,,,,,,,
DmHBElRoL_g,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_DmHBElRoL_g.mp3,10.0,0,10.0,,,,,,,,,,
EzlDFkY4zUU,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_EzlDFkY4zUU.mp3,10.0,0,10.0,,,,,,,,,,
TzYD1xAXNHs,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_TzYD1xAXNHs.mp3,10.0,0,10.0,,,,,,,,,,
3Ce51IWxZ2I,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_3Ce51IWxZ2I.mp3,10.0,0,10.0,,,,,,,,,,
ZObokhvYmPY,/mnt/data0/jrgillick/projects/laughter-detection/data/audioset/unbalanced_train_laughter_audio/yt_ZObokhvYmPY.mp3,10.0,0,10.0,,,,,,,,,,
