FileID,Start,End,Start,End,Start,End,Start,End,Start,End
ZoFZ1SEqVY0,0.132,0.869,1.107,1.858,2.237,2.705,,,,
fwqlFWrZnok,7.087,10.000,,,,,,,,
Sxi1v2Edin0,2.419,4.977,6.919,7.597,,,,,,
3dKSeoGR1z4,0.770,5.778,,,,,,,,
_nHfZ3eN-gI,1.648,2.219,,,,,,,,
DXSHDq3P0Hc,NO Laughter,,,,,,,,,
MtZ4-X236yw,3.390,4.176,5.362,6.949,8.460,9.569,,,,
JspiHIcMpPs,1.833,2.542,,,,,,,,
JaNVr8rZ-Wc,5.331,6.733,,,,,,,,
KyuGOQ6LwJE,3.53,6.6,,,,,,,,
ZMdci4B8qsA,1.432,3.235,,,,,,,,
5PHiDtGhd6s,3.343,10.000,,,,,,,,
dAtTDnzYAog,1.294,3.189,4.483,6.502,7.873,9.953,,,,
6ADdMhrIZc0,3.775,4.391,6.533,9.970,,,,,,
_8Q5sRCe8Gc,3.713,9.800,,,,,,,,
LSLH3IA1fNM,2.252,3.204,4.684,9.106,,,,,,
8UQZWCYEipU,0.755,4.946,,,,,,,,
QzVg5Mo2VZs,1.402,10.000,,,,,,,,
78DZ3enrEP4,3.605,5.301,,,,,,,,
aWFPdroghvY,0.070,6.590,8.703,9.168,,,,,,
-5AwGn04sAU,1.410,2.521,4.344,8.561,,,,,,
ZZ0nFRaH71o,2.064,2.681,8.382,8.859,,,,,,
bWb8zrWoZU8,3.975,6.056,,,,,,,,
MdCSz2cZQUM,0.077,5.300,8.413,9.892,,,,,,
LSPwquBitbU,3.065,4.806,6.887,7.396,,,,,,
0vw9f02o1UU,0.955,3.651,,,,,,,,
tuLts9DhQ7c,1.479,2.342,3.729,4.222,5.331,9.338,,,,
FGc9Zt1MXng,NO Laughter,,,,,,,,,
VoSU30CMd1Q,1.541,8.568,,,,,,,,
2c470XOGvp4,0.909,1.525,,,,,,,,
eFqlz_f0fZo,1.664,7.441,,,,,,,,
2Sb7U9QFkPI,7.319,8.076,,,,,,,,
1JZe-d8yQmI,4.576,5.485,8.274,10.000,,,,,,
GWW0crROtdg,0.046,2.049,5.008,6.564,,,,,,
8IqgniV-tVQ,3.559,8.243,,,,,,,,
9GdSA3KnYOU,2.711,4.992,7.534,10.000,,,,,,
XgB8a79-X0c,0.100,0.400,4.515,6.318,,,,,,
