,start,duration,sub_start,sub_duration,audio_path,label
0,2021.01,1.47,2021.09,1.0,Bdb001/chan4.sph,0
1,667.2,3.58,668.97,1.0,Bdb001/chanB.sph,0
2,1866.18,2.51,1866.8,1.0,Bdb001/chan4.sph,0
3,3010.72,1.78,3010.72,1.0,Bdb001/chanB.sph,0
4,2956.31,0.47,2955.87,1.0,Bdb001/chan3.sph,0
5,869.94,0.65,869.65,1.0,Bdb001/chan8.sph,0
6,1.6,1.17,1.76,1.0,Bdb001/chan4.sph,0
7,2641.9,1.67,2642.19,1.0,Bdb001/chan8.sph,0
8,31.25,0.55,30.95,1.0,Bdb001/chan1.sph,0
9,397.83,0.81,397.67,1.0,Bdb001/chan4.sph,0
10,2337.46,0.48,2337.12,1.0,Bdb001/chan4.sph,0
11,726.82,0.91,726.77,1.0,Bdb001/chan3.sph,0
12,1476.31,1.51,1476.33,1.0,Bdb001/chan4.sph,0
13,2479.9,0.29,2479.31,1.0,Bdb001/chan4.sph,0
14,2329.49,1.38,2329.79,1.0,Bdb001/chanB.sph,0
15,698.73,0.44,698.22,1.0,Bdb001/chan4.sph,0
16,1139.14,3.03,1140.81,1.0,Bdb001/chanB.sph,0
17,770.76,0.93,770.73,1.0,Bdb001/chan4.sph,0
18,1578.08,0.83,1578.08,1.0,Bdb001/chan8.sph,0
19,2987.58,1.42,2987.91,1.0,Bdb001/chan2.sph,0
20,160.92,0.99,160.92,1.0,Bdb001/chan2.sph,0
21,1241.63,0.53,1241.49,1.0,Bdb001/chan1.sph,0
22,2828.66,0.53,2828.32,1.0,Bdb001/chan3.sph,0
23,2390.52,0.93,2390.48,1.0,Bdb001/chan3.sph,0
24,2228.99,1.69,2229.2,1.0,Bdb001/chan2.sph,0
25,998.98,0.45,998.68,1.0,Bdb001/chan3.sph,0
26,1943.85,1.04,1943.87,1.0,Bdb001/chanB.sph,0
27,15.18,0.77,15.15,1.0,Bdb001/chan4.sph,0
28,620.71,2.4,621.08,1.0,Bdb001/chan2.sph,0
29,2909.21,2.69,2910.63,1.0,Bdb001/chan8.sph,0
30,258.22,1.7,258.89,1.0,Bdb001/chan3.sph,0
31,1227.84,1.7,1227.88,1.0,Bdb001/chan2.sph,0
32,1894.86,0.99,1894.85,1.0,Bdb001/chan3.sph,0
33,2567.17,1.0,2567.17,1.0,Bdb001/chan8.sph,0
34,319.07,0.82,318.9,1.0,Bdb001/chan1.sph,0
35,1598.22,0.77,1598.2,1.0,Bdb001/chan2.sph,0
36,64.32,1.31,64.42,1.0,Bdb001/chan3.sph,0
37,369.53,1.66,370.19,1.0,Bdb001/chanB.sph,0
38,228.13,1.4,228.45,1.0,Bdb001/chan2.sph,0
39,2358.4,1.68,2358.51,1.0,Bdb001/chan8.sph,0
40,709.17,1.84,709.75,1.0,Bdb001/chanB.sph,0
41,244.32,0.47,244.26,1.0,Bdb001/chanB.sph,0
42,1665.8,0.95,1665.77,1.0,Bdb001/chan2.sph,0
43,3185.81,1.39,3186.09,1.0,Bed002/chan8.sph,0
44,3276.94,1.17,3277.0,1.0,Bed002/chan1.sph,0
45,710.2,1.16,710.2,1.0,Bed002/chan0.sph,0
46,2079.22,1.02,2079.22,1.0,Bed002/chan4.sph,0
47,3838.91,1.78,3839.07,1.0,Bed002/chan2.sph,0
48,1550.95,4.64,1554.45,1.0,Bed002/chanB.sph,0
49,2291.2,2.43,2292.58,1.0,Bed002/chan0.sph,0
50,2347.61,1.17,2347.65,1.0,Bed002/chan4.sph,0
51,3811.92,0.9,3811.84,1.0,Bed002/chanB.sph,0
52,1864.57,1.99,1865.55,1.0,Bed002/chan2.sph,0
53,3187.2,1.14,3187.25,1.0,Bed002/chan4.sph,0
54,471.77,1.55,472.22,1.0,Bed002/chan4.sph,0
55,715.55,1.61,715.69,1.0,Bed002/chan8.sph,0
56,175.19,2.68,176.24,1.0,Bed002/chan8.sph,0
57,2538.15,1.55,2538.49,1.0,Bed002/chan4.sph,0
58,2805.29,1.11,2805.35,1.0,Bed002/chan1.sph,0
59,3823.82,0.79,3823.78,1.0,Bed002/chanB.sph,0
60,156.93,0.97,156.92,1.0,Bed002/chan1.sph,0
61,2931.18,1.31,2931.32,1.0,Bed002/chanB.sph,0
62,1147.48,0.7,1147.36,1.0,Bed002/chan4.sph,0
63,2494.41,0.87,2494.34,1.0,Bed002/chan0.sph,0
64,2028.56,0.83,2028.4,1.0,Bed002/chan2.sph,0
65,1842.01,0.76,1841.94,1.0,Bed002/chanB.sph,0
66,2708.29,0.79,2708.15,1.0,Bed002/chan4.sph,0
67,2476.85,1.28,2477.02,1.0,Bed002/chan1.sph,0
68,2178.07,0.76,2178.04,1.0,Bed002/chan1.sph,0
69,283.61,0.77,283.48,1.0,Bed002/chan1.sph,0
70,3867.83,3.0,3869.26,1.0,Bed002/chan0.sph,0
71,2894.69,0.91,2894.63,1.0,Bed002/chan4.sph,0
72,3101.46,1.11,3101.51,1.0,Bed002/chanB.sph,0
73,1851.85,1.08,1851.85,1.0,Bed002/chan1.sph,0
74,1800.15,0.71,1799.91,1.0,Bed002/chan0.sph,0
75,3696.58,0.81,3696.57,1.0,Bed002/chan2.sph,0
76,1779.38,1.45,1779.39,1.0,Bed002/chan1.sph,0
77,3001.81,0.91,3001.76,1.0,Bed002/chan2.sph,0
78,3729.91,1.65,3730.38,1.0,Bed002/chanB.sph,0
79,3797.36,1.3,3797.52,1.0,Bed002/chan8.sph,0
80,2778.7,0.89,2778.62,1.0,Bed002/chan1.sph,0
81,236.38,3.34,237.51,1.0,Bed002/chan0.sph,0
82,712.52,1.14,712.55,1.0,Bed002/chanB.sph,0
83,1460.58,2.73,1460.64,1.0,Bed002/chan0.sph,0
84,1053.82,1.88,1054.13,1.0,Bed002/chanB.sph,0
85,809.21,0.84,809.14,1.0,Bed002/chan1.sph,0
86,3269.02,1.05,3269.04,1.0,Bed002/chan8.sph,0
87,1713.65,1.81,1714.14,1.0,Bed002/chan8.sph,0
88,790.75,1.69,791.21,1.0,Bed002/chan2.sph,0
89,1315.48,1.2,1315.62,1.0,Bed002/chan0.sph,0
90,1130.05,4.0,1131.36,1.0,Bed002/chan8.sph,0
91,1400.37,1.37,1400.47,1.0,Bed002/chan0.sph,0
92,841.36,0.93,841.34,1.0,Bed002/chan8.sph,0
93,63.82,1.11,63.83,1.0,Bed002/chanB.sph,0
94,2972.23,1.14,2972.24,1.0,Bed002/chanB.sph,0
95,3470.18,1.41,3470.58,1.0,Bed002/chan4.sph,0
96,1700.03,2.01,1700.12,1.0,Bed002/chan1.sph,0
97,851.72,0.97,851.7,1.0,Bed002/chan2.sph,0
98,1900.33,0.9,1900.24,1.0,Bed002/chan0.sph,0
99,1157.84,0.61,1157.83,1.0,Bed002/chan0.sph,0
100,2942.16,1.62,2942.18,1.0,Bed002/chan1.sph,0
101,3754.18,1.34,3754.21,1.0,Bed002/chanB.sph,0
102,1703.6,0.91,1703.52,1.0,Bed002/chan8.sph,0
103,81.59,0.71,81.58,1.0,Bed003/chan3.sph,0
104,1722.61,1.56,1722.73,1.0,Bed003/chan2.sph,0
105,1028.68,1.92,1029.05,1.0,Bed003/chan4.sph,0
106,2484.54,0.66,2484.28,1.0,Bed003/chan3.sph,0
107,2090.87,1.66,2091.48,1.0,Bed003/chan4.sph,0
108,2537.46,0.94,2537.4,1.0,Bed003/chan3.sph,0
109,1858.95,0.86,1858.89,1.0,Bed003/chan1.sph,0
110,1338.77,0.82,1338.73,1.0,Bed003/chan1.sph,0
111,2142.85,1.95,2143.42,1.0,Bed003/chan3.sph,0
112,1742.25,1.28,1742.27,1.0,Bed003/chan4.sph,0
113,572.57,1.48,572.77,1.0,Bed003/chan3.sph,0
114,25.45,0.8,25.41,1.0,Bed003/chan1.sph,0
115,1584.46,0.54,1584.05,1.0,Bed003/chan4.sph,0
116,2269.64,1.69,2269.73,1.0,Bed003/chan1.sph,0
117,1705.48,0.96,1705.48,1.0,Bed003/chan4.sph,0
118,2401.65,1.7,2402.0,1.0,Bed003/chan4.sph,0
119,337.89,1.25,338.05,1.0,Bed003/chan1.sph,0
120,991.01,1.19,991.08,1.0,Bed003/chan2.sph,0
121,686.95,1.33,687.15,1.0,Bed003/chan4.sph,0
122,802.08,1.65,802.56,1.0,Bed003/chan2.sph,0
123,1784.62,2.67,1784.79,1.0,Bed003/chan3.sph,0
124,3019.87,1.1,3019.97,1.0,Bed003/chan2.sph,0
