FileID,tp_time,tn_time,fp_time,fn_time,predicted_laughter,predicted_non_laughter,true_laughter,true_non_laughter
ZoFZ1SEqVY0,1.1599230769230768,0.0,0.6169999999999999,0.023076923076922995,"[{'start': 0.5, 'end': 2.276923076923077}]","[{'start': 2.276923076923077, 'end': 2.3}]","[{'start': 0.5, 'end': 0.8690000000000001}, {'start': 1.107, 'end': 1.858}, {'start': 2.237, 'end': 2.3}]","[{'start': 0.8690000000000001, 'end': 1.107}, {'start': 1.858, 'end': 2.237}]"
fwqlFWrZnok,2.2268041237113403,6.192670103092784,0.39432989690721654,0.18619587628865908,"[{'start': 0.7319587628865979, 'end': 0.8247422680412371}, {'start': 0.9639175257731958, 'end': 1.2190721649484537}, {'start': 5.278350515463917, 'end': 5.324742268041237}, {'start': 7.249999999999999, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 0.7319587628865979}, {'start': 0.8247422680412371, 'end': 0.9639175257731958}, {'start': 1.2190721649484537, 'end': 5.278350515463917}, {'start': 5.324742268041237, 'end': 7.249999999999999}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 7.087000000000001, 'end': 9.5}]","[{'start': 0.5, 'end': 7.087000000000001}]"
Sxi1v2Edin0,3.0504329896907225,2.528350515463917,3.235649484536082,0.18556701030927858,"[{'start': 2.402061855670103, 'end': 3.7474226804123707}, {'start': 3.9329896907216493, 'end': 5.347938144329897}, {'start': 5.440721649484535, 'end': 6.043814432989691}, {'start': 6.09020618556701, 'end': 6.229381443298968}, {'start': 6.345360824742268, 'end': 6.484536082474226}, {'start': 6.716494845360824, 'end': 8.502577319587628}, {'start': 8.548969072164947, 'end': 8.688144329896907}, {'start': 8.757731958762886, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 2.402061855670103}, {'start': 3.7474226804123707, 'end': 3.9329896907216493}, {'start': 5.347938144329897, 'end': 5.440721649484535}, {'start': 6.043814432989691, 'end': 6.09020618556701}, {'start': 6.229381443298968, 'end': 6.345360824742268}, {'start': 6.484536082474226, 'end': 6.716494845360824}, {'start': 8.502577319587628, 'end': 8.548969072164947}, {'start': 8.688144329896907, 'end': 8.757731958762886}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 2.419, 'end': 4.977}, {'start': 6.919, 'end': 7.597}]","[{'start': 0.5, 'end': 2.419}, {'start': 4.977, 'end': 6.919}, {'start': 7.597, 'end': 9.5}]"
3dKSeoGR1z4,3.7196907216494837,3.466845360824744,0.5251546391752564,1.288309278350516,"[{'start': 0.615979381443299, 'end': 1.3118556701030926}, {'start': 1.7989690721649483, 'end': 3.8170103092783503}, {'start': 4.559278350515464, 'end': 5.719072164948453}, {'start': 5.997422680412371, 'end': 6.136597938144329}, {'start': 9.244845360824742, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 0.615979381443299}, {'start': 1.3118556701030926, 'end': 1.7989690721649483}, {'start': 3.8170103092783503, 'end': 4.559278350515464}, {'start': 5.719072164948453, 'end': 5.997422680412371}, {'start': 6.136597938144329, 'end': 9.244845360824742}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 0.77, 'end': 5.778}]","[{'start': 0.5, 'end': 0.77}, {'start': 5.778, 'end': 9.5}]"
_nHfZ3eN-gI,0.5709999999999997,0.8350515463917518,7.593948453608249,0.0,"[{'start': 0.5, 'end': 2.6804123711340204}, {'start': 3.074742268041237, 'end': 5.765463917525773}, {'start': 5.904639175257731, 'end': 9.198453608247423}]","[{'start': 2.6804123711340204, 'end': 3.074742268041237}, {'start': 5.765463917525773, 'end': 5.904639175257731}, {'start': 9.198453608247423, 'end': 9.5}]","[{'start': 1.6480000000000001, 'end': 2.219}]","[{'start': 0.5, 'end': 1.6480000000000001}, {'start': 2.219, 'end': 9.5}]"
DXSHDq3P0Hc,0.0,4.963917525773199,4.036082474226801,0.0,"[{'start': 0.5, 'end': 0.5695876288659794}, {'start': 3.1211340206185567, 'end': 4.512886597938144}, {'start': 4.628865979381443, 'end': 6.2061855670103085}, {'start': 6.275773195876289, 'end': 6.298969072164948}, {'start': 6.554123711340206, 'end': 7.249999999999999}, {'start': 7.342783505154639, 'end': 7.458762886597937}, {'start': 7.551546391752577, 'end': 7.574742268041237}, {'start': 7.644329896907216, 'end': 7.667525773195876}, {'start': 7.713917525773195, 'end': 7.7603092783505145}, {'start': 7.876288659793814, 'end': 7.922680412371133}, {'start': 8.38659793814433, 'end': 8.40979381443299}]","[{'start': 0.5695876288659794, 'end': 3.1211340206185567}, {'start': 4.512886597938144, 'end': 4.628865979381443}, {'start': 6.2061855670103085, 'end': 6.275773195876289}, {'start': 6.298969072164948, 'end': 6.554123711340206}, {'start': 7.249999999999999, 'end': 7.342783505154639}, {'start': 7.458762886597937, 'end': 7.551546391752577}, {'start': 7.574742268041237, 'end': 7.644329896907216}, {'start': 7.667525773195876, 'end': 7.713917525773195}, {'start': 7.7603092783505145, 'end': 7.876288659793814}, {'start': 7.922680412371133, 'end': 8.38659793814433}, {'start': 8.40979381443299, 'end': 9.5}]",[],"[{'start': 0.5, 'end': 9.5}]"
MtZ4-X236yw,3.2646907216494827,2.310453608247425,3.276546391752576,0.14830927835051622,"[{'start': 0.5, 'end': 0.5231958762886598}, {'start': 0.5695876288659794, 'end': 1.8685567010309276}, {'start': 2.4252577319587627, 'end': 3.074742268041237}, {'start': 3.1211340206185567, 'end': 3.2139175257731956}, {'start': 3.2603092783505154, 'end': 4.466494845360824}, {'start': 4.512886597938144, 'end': 4.559278350515464}, {'start': 5.487113402061856, 'end': 7.435567010309278}, {'start': 7.481958762886597, 'end': 7.667525773195876}, {'start': 8.38659793814433, 'end': 9.47680412371134}]","[{'start': 0.5231958762886598, 'end': 0.5695876288659794}, {'start': 1.8685567010309276, 'end': 2.4252577319587627}, {'start': 3.074742268041237, 'end': 3.1211340206185567}, {'start': 3.2139175257731956, 'end': 3.2603092783505154}, {'start': 4.466494845360824, 'end': 4.512886597938144}, {'start': 4.559278350515464, 'end': 5.487113402061856}, {'start': 7.435567010309278, 'end': 7.481958762886597}, {'start': 7.667525773195876, 'end': 8.38659793814433}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 3.39, 'end': 4.176}, {'start': 5.362, 'end': 6.949}, {'start': 8.46, 'end': 9.5}]","[{'start': 0.5, 'end': 3.39}, {'start': 4.176, 'end': 5.362}, {'start': 6.949, 'end': 8.46}]"
JspiHIcMpPs,0.7089999999999996,1.9948453608247425,6.296154639175258,0.0,"[{'start': 0.5, 'end': 0.7087628865979381}, {'start': 0.7783505154639174, 'end': 5.371134020618556}, {'start': 5.417525773195876, 'end': 5.487113402061856}, {'start': 5.951030927835051, 'end': 7.041237113402062}, {'start': 7.574742268041237, 'end': 7.667525773195876}, {'start': 8.47938144329897, 'end': 9.128865979381443}, {'start': 9.175257731958762, 'end': 9.47680412371134}]","[{'start': 0.7087628865979381, 'end': 0.7783505154639174}, {'start': 5.371134020618556, 'end': 5.417525773195876}, {'start': 5.487113402061856, 'end': 5.951030927835051}, {'start': 7.041237113402062, 'end': 7.574742268041237}, {'start': 7.667525773195876, 'end': 8.47938144329897}, {'start': 9.128865979381443, 'end': 9.175257731958762}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 1.8330000000000002, 'end': 2.542}]","[{'start': 0.5, 'end': 1.8330000000000002}, {'start': 2.542, 'end': 9.5}]"
JaNVr8rZ-Wc,0.9675360824742265,5.318113402061857,2.2798865979381433,0.43446391752577274,"[{'start': 1.4974226804123711, 'end': 2.4252577319587627}, {'start': 5.765463917525773, 'end': 6.9020618556701026}, {'start': 7.435567010309278, 'end': 7.458762886597937}, {'start': 7.528350515463917, 'end': 7.667525773195876}, {'start': 7.713917525773195, 'end': 7.806701030927835}, {'start': 7.853092783505154, 'end': 7.876288659793814}, {'start': 8.177835051546392, 'end': 9.082474226804123}]","[{'start': 0.5, 'end': 1.4974226804123711}, {'start': 2.4252577319587627, 'end': 5.765463917525773}, {'start': 6.9020618556701026, 'end': 7.435567010309278}, {'start': 7.458762886597937, 'end': 7.528350515463917}, {'start': 7.667525773195876, 'end': 7.713917525773195}, {'start': 7.806701030927835, 'end': 7.853092783505154}, {'start': 7.876288659793814, 'end': 8.177835051546392}, {'start': 9.082474226804123, 'end': 9.5}]","[{'start': 5.331, 'end': 6.733}]","[{'start': 0.5, 'end': 5.331}, {'start': 6.733, 'end': 9.5}]"
KyuGOQ6LwJE,2.5467634854771775,0.4647302904564321,2.5652697095435677,0.023236514522822382,"[{'start': 0.5, 'end': 1.2203319502074688}, {'start': 1.266804979253112, 'end': 1.4294605809128629}, {'start': 1.5688796680497923, 'end': 1.6153526970954355}, {'start': 1.6850622406639002, 'end': 2.1730290456431534}, {'start': 2.2892116182572613, 'end': 2.4053941908713687}, {'start': 2.4983402489626556, 'end': 6.076763485477177}]","[{'start': 1.2203319502074688, 'end': 1.266804979253112}, {'start': 1.4294605809128629, 'end': 1.5688796680497923}, {'start': 1.6153526970954355, 'end': 1.6850622406639002}, {'start': 2.1730290456431534, 'end': 2.2892116182572613}, {'start': 2.4053941908713687, 'end': 2.4983402489626556}, {'start': 6.076763485477177, 'end': 6.1}]","[{'start': 3.53, 'end': 6.1}]","[{'start': 0.5, 'end': 3.53}]"
