FileID,tp_time,tn_time,fp_time,fn_time,predicted_laughter,predicted_non_laughter,true_laughter,true_non_laughter
2c470XOGvp4,0.5959999999999999,8.373000000000001,0.01100000000000012,0.020000000000000018,"[{'start': 0.929, 'end': 1.536}]","[{'start': 0.5, 'end': 0.929}, {'start': 1.536, 'end': 9.5}]","[{'start': 0.909, 'end': 1.525}]","[{'start': 0.5, 'end': 0.909}, {'start': 1.525, 'end': 9.5}]"
AEw2McqLRQY,1.8789999999999996,6.272,0.7859999999999996,0.06300000000000061,"[{'start': 4.915, 'end': 6.162999999999999}, {'start': 7.381, 'end': 8.798}]","[{'start': 0.5, 'end': 4.915}, {'start': 6.162999999999999, 'end': 7.381}, {'start': 8.798, 'end': 9.5}]","[{'start': 4.8839999999999995, 'end': 5.685}, {'start': 7.349, 'end': 8.49}]","[{'start': 0.5, 'end': 4.8839999999999995}, {'start': 5.685, 'end': 7.349}, {'start': 8.49, 'end': 9.5}]"
bWb8zrWoZU8,2.081,6.611999999999999,0.30700000000000083,0.0,"[{'start': 3.9139999999999997, 'end': 6.3020000000000005}]","[{'start': 0.5, 'end': 3.9139999999999997}, {'start': 6.3020000000000005, 'end': 9.5}]","[{'start': 3.975, 'end': 6.056}]","[{'start': 0.5, 'end': 3.975}, {'start': 6.056, 'end': 9.5}]"
Qg2JNUMLSgc,2.8979999999999992,6.014,0.03400000000000025,0.05400000000000027,"[{'start': 1.984, 'end': 4.265}, {'start': 8.849, 'end': 9.5}]","[{'start': 0.5, 'end': 1.984}, {'start': 4.265, 'end': 8.849}]","[{'start': 2.0180000000000002, 'end': 4.284}, {'start': 8.814, 'end': 9.5}]","[{'start': 0.5, 'end': 2.0180000000000002}, {'start': 4.284, 'end': 8.814}]"
BAEG3OtEf3s,0.31499999999999995,7.5680000000000005,1.117,0.0,"[{'start': 1.4180000000000001, 'end': 2.85}]","[{'start': 0.5, 'end': 1.4180000000000001}, {'start': 2.85, 'end': 9.5}]","[{'start': 2.525, 'end': 2.84}]","[{'start': 0.5, 'end': 2.525}, {'start': 2.84, 'end': 9.5}]"
EGv45MzlFPw,1.8290000000000004,7.127000000000001,0.030999999999999694,0.013000000000000123,"[{'start': 1.538, 'end': 2.28}, {'start': 8.382, 'end': 9.5}]","[{'start': 0.5, 'end': 1.538}, {'start': 2.28, 'end': 8.382}]","[{'start': 1.525, 'end': 2.249}, {'start': 8.382, 'end': 9.5}]","[{'start': 0.5, 'end': 1.525}, {'start': 2.249, 'end': 8.382}]"
xqrwCyRTV-g,7.05,1.919,0.03100000000000014,0.0,"[{'start': 2.419, 'end': 9.5}]","[{'start': 0.5, 'end': 2.419}]","[{'start': 2.45, 'end': 9.5}]","[{'start': 0.5, 'end': 2.45}]"
o0eeuJlK__k,1.246999999999999,7.752000000000001,0.0,0.001000000000000334,"[{'start': 6.827000000000001, 'end': 8.074}]","[{'start': 0.5, 'end': 6.827000000000001}, {'start': 8.074, 'end': 9.5}]","[{'start': 6.8260000000000005, 'end': 8.074}]","[{'start': 0.5, 'end': 6.8260000000000005}, {'start': 8.074, 'end': 9.5}]"
XgB8a79-X0c,1.803,7.197,0.0,0.0,"[{'start': 4.515, 'end': 6.318}]","[{'start': 0.5, 'end': 4.515}, {'start': 6.318, 'end': 9.5}]","[{'start': 4.515, 'end': 6.318}]","[{'start': 0.5, 'end': 4.515}, {'start': 6.318, 'end': 9.5}]"
Car0lM48TTI,9.0,0.0,0.0,0.0,"[{'start': 0.5, 'end': 9.5}]",[],"[{'start': 0.5, 'end': 9.5}]",[]
