FileID,tp_time,tn_time,fp_time,fn_time,predicted_laughter,predicted_non_laughter,true_laughter,true_non_laughter
ZoFZ1SEqVY0,1.1599230769230768,0.0,0.6169999999999999,0.023076923076922995,"[{'start': 0.5, 'end': 2.276923076923077}]","[{'start': 2.276923076923077, 'end': 2.3}]","[{'start': 0.5, 'end': 0.8690000000000001}, {'start': 1.107, 'end': 1.858}, {'start': 2.237, 'end': 2.3}]","[{'start': 0.8690000000000001, 'end': 1.107}, {'start': 1.858, 'end': 2.237}]"
fwqlFWrZnok,2.18041237113402,3.594731958762887,2.9922680412371134,0.2325876288659794,"[{'start': 1.0567010309278349, 'end': 1.4974226804123711}, {'start': 1.845360824742268, 'end': 1.9149484536082473}, {'start': 2.587628865979381, 'end': 2.634020618556701}, {'start': 2.7731958762886597, 'end': 2.7963917525773194}, {'start': 3.051546391752577, 'end': 3.2603092783505154}, {'start': 4.304123711340206, 'end': 6.4381443298969065}, {'start': 6.530927835051546, 'end': 6.600515463917525}, {'start': 7.296391752577319, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 1.0567010309278349}, {'start': 1.4974226804123711, 'end': 1.845360824742268}, {'start': 1.9149484536082473, 'end': 2.587628865979381}, {'start': 2.634020618556701, 'end': 2.7731958762886597}, {'start': 2.7963917525773194, 'end': 3.051546391752577}, {'start': 3.2603092783505154, 'end': 4.304123711340206}, {'start': 6.4381443298969065, 'end': 6.530927835051546}, {'start': 6.600515463917525, 'end': 7.296391752577319}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 7.087000000000001, 'end': 9.5}]","[{'start': 0.5, 'end': 7.087000000000001}]"
Sxi1v2Edin0,3.236000000000001,0.5335051546391755,5.230494845360823,0.0,"[{'start': 0.5, 'end': 0.7319587628865979}, {'start': 0.8015463917525774, 'end': 1.1262886597938144}, {'start': 1.1726804123711339, 'end': 7.829896907216495}, {'start': 7.922680412371133, 'end': 8.456185567010309}, {'start': 8.572164948453608, 'end': 9.128865979381443}, {'start': 9.31443298969072, 'end': 9.47680412371134}]","[{'start': 0.7319587628865979, 'end': 0.8015463917525774}, {'start': 1.1262886597938144, 'end': 1.1726804123711339}, {'start': 7.829896907216495, 'end': 7.922680412371133}, {'start': 8.456185567010309, 'end': 8.572164948453608}, {'start': 9.128865979381443, 'end': 9.31443298969072}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 2.419, 'end': 4.977}, {'start': 6.919, 'end': 7.597}]","[{'start': 0.5, 'end': 2.419}, {'start': 4.977, 'end': 6.919}, {'start': 7.597, 'end': 9.5}]"
3dKSeoGR1z4,0.8118556701030915,3.9920000000000004,0.0,4.196144329896908,"[{'start': 1.5670103092783505, 'end': 2.355670103092783}, {'start': 4.234536082474227, 'end': 4.257731958762886}]","[{'start': 0.5, 'end': 1.5670103092783505}, {'start': 2.355670103092783, 'end': 4.234536082474227}, {'start': 4.257731958762886, 'end': 9.5}]","[{'start': 0.77, 'end': 5.778}]","[{'start': 0.5, 'end': 0.77}, {'start': 5.778, 'end': 9.5}]"
_nHfZ3eN-gI,0.5709999999999997,0.11597938144330033,8.313020618556699,0.0,"[{'start': 0.5, 'end': 5.765463917525773}, {'start': 5.811855670103093, 'end': 5.951030927835051}, {'start': 5.997422680412371, 'end': 9.47680412371134}]","[{'start': 5.765463917525773, 'end': 5.811855670103093}, {'start': 5.951030927835051, 'end': 5.997422680412371}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 1.6480000000000001, 'end': 2.219}]","[{'start': 0.5, 'end': 1.6480000000000001}, {'start': 2.219, 'end': 9.5}]"
DXSHDq3P0Hc,0.0,4.731958762886599,4.268041237113401,0.0,"[{'start': 0.5, 'end': 1.4278350515463916}, {'start': 2.9819587628865976, 'end': 3.9097938144329896}, {'start': 4.280927835051546, 'end': 4.4201030927835046}, {'start': 5.046391752577319, 'end': 6.925257731958762}, {'start': 6.971649484536082, 'end': 7.226804123711339}, {'start': 7.27319587628866, 'end': 7.412371134020618}]","[{'start': 1.4278350515463916, 'end': 2.9819587628865976}, {'start': 3.9097938144329896, 'end': 4.280927835051546}, {'start': 4.4201030927835046, 'end': 5.046391752577319}, {'start': 6.925257731958762, 'end': 6.971649484536082}, {'start': 7.226804123711339, 'end': 7.27319587628866}, {'start': 7.412371134020618, 'end': 9.5}]",[],"[{'start': 0.5, 'end': 9.5}]"
MtZ4-X236yw,2.0744639175257706,4.321257731958763,1.2657422680412376,1.3385360824742283,"[{'start': 2.123711340206185, 'end': 2.1469072164948453}, {'start': 2.193298969072165, 'end': 2.286082474226804}, {'start': 2.935567010309278, 'end': 3.051546391752577}, {'start': 3.1443298969072164, 'end': 3.190721649484536}, {'start': 3.3762886597938144, 'end': 3.724226804123711}, {'start': 3.7938144329896906, 'end': 3.8170103092783503}, {'start': 3.8634020618556697, 'end': 4.072164948453608}, {'start': 4.188144329896907, 'end': 4.396907216494846}, {'start': 6.09020618556701, 'end': 6.159793814432989}, {'start': 6.275773195876289, 'end': 6.762886597938144}, {'start': 6.809278350515464, 'end': 7.389175257731958}, {'start': 7.690721649484535, 'end': 7.713917525773195}, {'start': 7.783505154639175, 'end': 7.876288659793814}, {'start': 7.969072164948453, 'end': 8.085051546391753}, {'start': 8.13144329896907, 'end': 8.22422680412371}, {'start': 8.618556701030927, 'end': 8.641752577319586}, {'start': 8.688144329896907, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 2.123711340206185}, {'start': 2.1469072164948453, 'end': 2.193298969072165}, {'start': 2.286082474226804, 'end': 2.935567010309278}, {'start': 3.051546391752577, 'end': 3.1443298969072164}, {'start': 3.190721649484536, 'end': 3.3762886597938144}, {'start': 3.724226804123711, 'end': 3.7938144329896906}, {'start': 3.8170103092783503, 'end': 3.8634020618556697}, {'start': 4.072164948453608, 'end': 4.188144329896907}, {'start': 4.396907216494846, 'end': 6.09020618556701}, {'start': 6.159793814432989, 'end': 6.275773195876289}, {'start': 6.762886597938144, 'end': 6.809278350515464}, {'start': 7.389175257731958, 'end': 7.690721649484535}, {'start': 7.713917525773195, 'end': 7.783505154639175}, {'start': 7.876288659793814, 'end': 7.969072164948453}, {'start': 8.085051546391753, 'end': 8.13144329896907}, {'start': 8.22422680412371, 'end': 8.618556701030927}, {'start': 8.641752577319586, 'end': 8.688144329896907}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 3.39, 'end': 4.176}, {'start': 5.362, 'end': 6.949}, {'start': 8.46, 'end': 9.5}]","[{'start': 0.5, 'end': 3.39}, {'start': 4.176, 'end': 5.362}, {'start': 6.949, 'end': 8.46}]"
JspiHIcMpPs,0.7089999999999996,0.5567010309278358,7.734298969072165,0.0,"[{'start': 0.5463917525773195, 'end': 0.8943298969072164}, {'start': 1.3814432989690721, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 0.5463917525773195}, {'start': 0.8943298969072164, 'end': 1.3814432989690721}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 1.8330000000000002, 'end': 2.542}]","[{'start': 0.5, 'end': 1.8330000000000002}, {'start': 2.542, 'end': 9.5}]"
JaNVr8rZ-Wc,1.4019999999999992,2.690721649484537,4.907278350515464,0.0,"[{'start': 1.3582474226804124, 'end': 1.4046391752577319}, {'start': 1.4742268041237114, 'end': 1.5902061855670102}, {'start': 1.6365979381443299, 'end': 1.8685567010309276}, {'start': 1.9381443298969072, 'end': 4.002577319587628}, {'start': 4.095360824742268, 'end': 4.188144329896907}, {'start': 4.860824742268041, 'end': 4.90721649484536}, {'start': 5.02319587628866, 'end': 5.069587628865979}, {'start': 5.162371134020618, 'end': 5.231958762886598}, {'start': 5.301546391752577, 'end': 6.948453608247422}, {'start': 7.018041237113402, 'end': 7.574742268041237}, {'start': 7.644329896907216, 'end': 8.548969072164947}, {'start': 8.688144329896907, 'end': 9.036082474226804}, {'start': 9.152061855670102, 'end': 9.244845360824742}, {'start': 9.291237113402062, 'end': 9.337628865979381}]","[{'start': 0.5, 'end': 1.3582474226804124}, {'start': 1.4046391752577319, 'end': 1.4742268041237114}, {'start': 1.5902061855670102, 'end': 1.6365979381443299}, {'start': 1.8685567010309276, 'end': 1.9381443298969072}, {'start': 4.002577319587628, 'end': 4.095360824742268}, {'start': 4.188144329896907, 'end': 4.860824742268041}, {'start': 4.90721649484536, 'end': 5.02319587628866}, {'start': 5.069587628865979, 'end': 5.162371134020618}, {'start': 5.231958762886598, 'end': 5.301546391752577}, {'start': 6.948453608247422, 'end': 7.018041237113402}, {'start': 7.574742268041237, 'end': 7.644329896907216}, {'start': 8.548969072164947, 'end': 8.688144329896907}, {'start': 9.036082474226804, 'end': 9.152061855670102}, {'start': 9.244845360824742, 'end': 9.291237113402062}, {'start': 9.337628865979381, 'end': 9.5}]","[{'start': 5.331, 'end': 6.733}]","[{'start': 0.5, 'end': 5.331}, {'start': 6.733, 'end': 9.5}]"
KyuGOQ6LwJE,2.5467634854771775,0.9062240663900412,2.1237759336099584,0.023236514522822382,"[{'start': 0.5, 'end': 1.3829875518672199}, {'start': 1.4294605809128629, 'end': 1.592116182572614}, {'start': 1.638589211618257, 'end': 1.8477178423236513}, {'start': 2.4983402489626556, 'end': 2.5912863070539416}, {'start': 2.7539419087136925, 'end': 6.076763485477177}]","[{'start': 1.3829875518672199, 'end': 1.4294605809128629}, {'start': 1.592116182572614, 'end': 1.638589211618257}, {'start': 1.8477178423236513, 'end': 2.4983402489626556}, {'start': 2.5912863070539416, 'end': 2.7539419087136925}, {'start': 6.076763485477177, 'end': 6.1}]","[{'start': 3.53, 'end': 6.1}]","[{'start': 0.5, 'end': 3.53}]"
