FileID,tp_time,tn_time,fp_time,fn_time,predicted_laughter,predicted_non_laughter,true_laughter,true_non_laughter
ZoFZ1SEqVY0,0.7252307692307691,0.11915384615384583,0.49784615384615405,0.4577692307692308,"[{'start': 0.5, 'end': 0.6153846153846154}, {'start': 0.6615384615384615, 'end': 0.7307692307692307}, {'start': 0.8692307692307693, 'end': 1.6307692307692307}, {'start': 1.9769230769230768, 'end': 2.253846153846154}]","[{'start': 0.6153846153846154, 'end': 0.6615384615384615}, {'start': 0.7307692307692307, 'end': 0.8692307692307693}, {'start': 1.6307692307692307, 'end': 1.9769230769230768}, {'start': 2.253846153846154, 'end': 2.3}]","[{'start': 0.5, 'end': 0.8690000000000001}, {'start': 1.107, 'end': 1.858}, {'start': 2.237, 'end': 2.3}]","[{'start': 0.8690000000000001, 'end': 1.107}, {'start': 1.858, 'end': 2.237}]"
fwqlFWrZnok,0.997422680412372,6.587000000000001,0.0,1.4155773195876273,"[{'start': 7.690721649484535, 'end': 7.713917525773195}, {'start': 7.783505154639175, 'end': 8.688144329896907}, {'start': 9.059278350515463, 'end': 9.082474226804123}, {'start': 9.128865979381443, 'end': 9.175257731958762}]","[{'start': 0.5, 'end': 7.690721649484535}, {'start': 7.713917525773195, 'end': 7.783505154639175}, {'start': 8.688144329896907, 'end': 9.059278350515463}, {'start': 9.082474226804123, 'end': 9.128865979381443}, {'start': 9.175257731958762, 'end': 9.5}]","[{'start': 7.087000000000001, 'end': 9.5}]","[{'start': 0.5, 'end': 7.087000000000001}]"
Sxi1v2Edin0,2.945134020618558,4.371505154639175,1.3924948453608232,0.2908659793814432,"[{'start': 2.4716494845360826, 'end': 3.7474226804123707}, {'start': 3.9793814432989687, 'end': 5.139175257731958}, {'start': 6.925257731958762, 'end': 8.456185567010309}, {'start': 9.105670103092782, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 2.4716494845360826}, {'start': 3.7474226804123707, 'end': 3.9793814432989687}, {'start': 5.139175257731958, 'end': 6.925257731958762}, {'start': 8.456185567010309, 'end': 9.105670103092782}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 2.419, 'end': 4.977}, {'start': 6.919, 'end': 7.597}]","[{'start': 0.5, 'end': 2.419}, {'start': 4.977, 'end': 6.919}, {'start': 7.597, 'end': 9.5}]"
3dKSeoGR1z4,3.247422680412372,3.9920000000000004,0.0,1.7605773195876278,"[{'start': 1.0798969072164948, 'end': 1.7989690721649483}, {'start': 2.0309278350515463, 'end': 3.0051546391752577}, {'start': 3.2371134020618553, 'end': 3.283505154639175}, {'start': 3.3298969072164946, 'end': 3.7474226804123707}, {'start': 4.4201030927835046, 'end': 5.510309278350515}]","[{'start': 0.5, 'end': 1.0798969072164948}, {'start': 1.7989690721649483, 'end': 2.0309278350515463}, {'start': 3.0051546391752577, 'end': 3.2371134020618553}, {'start': 3.283505154639175, 'end': 3.3298969072164946}, {'start': 3.7474226804123707, 'end': 4.4201030927835046}, {'start': 5.510309278350515, 'end': 9.5}]","[{'start': 0.77, 'end': 5.778}]","[{'start': 0.5, 'end': 0.77}, {'start': 5.778, 'end': 9.5}]"
_nHfZ3eN-gI,0.5709999999999997,2.22680412371134,6.20219587628866,0.0,"[{'start': 0.5, 'end': 2.587628865979381}, {'start': 3.1443298969072164, 'end': 5.579896907216495}, {'start': 6.09020618556701, 'end': 7.667525773195876}, {'start': 7.713917525773195, 'end': 8.38659793814433}]","[{'start': 2.587628865979381, 'end': 3.1443298969072164}, {'start': 5.579896907216495, 'end': 6.09020618556701}, {'start': 7.667525773195876, 'end': 7.713917525773195}, {'start': 8.38659793814433, 'end': 9.5}]","[{'start': 1.6480000000000001, 'end': 2.219}]","[{'start': 0.5, 'end': 1.6480000000000001}, {'start': 2.219, 'end': 9.5}]"
DXSHDq3P0Hc,0.0,6.7268041237113385,2.273195876288661,0.0,"[{'start': 0.5, 'end': 1.1262886597938144}, {'start': 3.3530927835051543, 'end': 4.188144329896907}, {'start': 4.97680412371134, 'end': 5.046391752577319}, {'start': 5.139175257731958, 'end': 5.858247422680412}, {'start': 6.994845360824741, 'end': 7.018041237113402}]","[{'start': 1.1262886597938144, 'end': 3.3530927835051543}, {'start': 4.188144329896907, 'end': 4.97680412371134}, {'start': 5.046391752577319, 'end': 5.139175257731958}, {'start': 5.858247422680412, 'end': 6.994845360824741}, {'start': 7.018041237113402, 'end': 9.5}]",[],"[{'start': 0.5, 'end': 9.5}]"
MtZ4-X236yw,1.0278556701030919,4.851969072164946,0.7350309278350541,2.385144329896907,"[{'start': 0.6623711340206185, 'end': 0.6855670103092784}, {'start': 0.7319587628865979, 'end': 0.7783505154639174}, {'start': 0.8479381443298969, 'end': 0.8711340206185567}, {'start': 2.7963917525773194, 'end': 2.819587628865979}, {'start': 2.865979381443299, 'end': 3.0283505154639174}, {'start': 3.167525773195876, 'end': 3.190721649484536}, {'start': 3.8170103092783503, 'end': 4.234536082474227}, {'start': 5.927835051546391, 'end': 5.951030927835051}, {'start': 6.020618556701031, 'end': 6.159793814432989}, {'start': 6.2061855670103085, 'end': 6.322164948453608}, {'start': 6.391752577319587, 'end': 6.507731958762887}, {'start': 6.577319587628866, 'end': 6.600515463917525}, {'start': 6.646907216494845, 'end': 6.693298969072164}, {'start': 6.762886597938144, 'end': 6.948453608247422}, {'start': 6.994845360824741, 'end': 7.041237113402062}, {'start': 7.087628865979381, 'end': 7.226804123711339}, {'start': 7.296391752577319, 'end': 7.319587628865979}, {'start': 7.365979381443299, 'end': 7.412371134020618}, {'start': 7.481958762886597, 'end': 7.574742268041237}, {'start': 8.432989690721648, 'end': 8.47938144329897}]","[{'start': 0.5, 'end': 0.6623711340206185}, {'start': 0.6855670103092784, 'end': 0.7319587628865979}, {'start': 0.7783505154639174, 'end': 0.8479381443298969}, {'start': 0.8711340206185567, 'end': 2.7963917525773194}, {'start': 2.819587628865979, 'end': 2.865979381443299}, {'start': 3.0283505154639174, 'end': 3.167525773195876}, {'start': 3.190721649484536, 'end': 3.8170103092783503}, {'start': 4.234536082474227, 'end': 5.927835051546391}, {'start': 5.951030927835051, 'end': 6.020618556701031}, {'start': 6.159793814432989, 'end': 6.2061855670103085}, {'start': 6.322164948453608, 'end': 6.391752577319587}, {'start': 6.507731958762887, 'end': 6.577319587628866}, {'start': 6.600515463917525, 'end': 6.646907216494845}, {'start': 6.693298969072164, 'end': 6.762886597938144}, {'start': 6.948453608247422, 'end': 6.994845360824741}, {'start': 7.041237113402062, 'end': 7.087628865979381}, {'start': 7.226804123711339, 'end': 7.296391752577319}, {'start': 7.319587628865979, 'end': 7.365979381443299}, {'start': 7.412371134020618, 'end': 7.481958762886597}, {'start': 7.574742268041237, 'end': 8.432989690721648}, {'start': 8.47938144329897, 'end': 9.5}]","[{'start': 3.39, 'end': 4.176}, {'start': 5.362, 'end': 6.949}, {'start': 8.46, 'end': 9.5}]","[{'start': 0.5, 'end': 3.39}, {'start': 4.176, 'end': 5.362}, {'start': 6.949, 'end': 8.46}]"
JspiHIcMpPs,0.7089999999999996,3.850515463917525,4.440484536082476,0.0,"[{'start': 0.5, 'end': 0.615979381443299}, {'start': 0.6855670103092784, 'end': 0.7087628865979381}, {'start': 0.7551546391752577, 'end': 3.1443298969072164}, {'start': 3.5850515463917523, 'end': 3.631443298969072}, {'start': 3.84020618556701, 'end': 5.510309278350515}, {'start': 5.951030927835051, 'end': 6.229381443298968}, {'start': 6.461340206185566, 'end': 6.507731958762887}, {'start': 7.20360824742268, 'end': 7.226804123711339}, {'start': 7.296391752577319, 'end': 7.806701030927835}, {'start': 7.853092783505154, 'end': 7.899484536082474}]","[{'start': 0.615979381443299, 'end': 0.6855670103092784}, {'start': 0.7087628865979381, 'end': 0.7551546391752577}, {'start': 3.1443298969072164, 'end': 3.5850515463917523}, {'start': 3.631443298969072, 'end': 3.84020618556701}, {'start': 5.510309278350515, 'end': 5.951030927835051}, {'start': 6.229381443298968, 'end': 6.461340206185566}, {'start': 6.507731958762887, 'end': 7.20360824742268}, {'start': 7.226804123711339, 'end': 7.296391752577319}, {'start': 7.806701030927835, 'end': 7.853092783505154}, {'start': 7.899484536082474, 'end': 9.5}]","[{'start': 1.8330000000000002, 'end': 2.542}]","[{'start': 0.5, 'end': 1.8330000000000002}, {'start': 2.542, 'end': 9.5}]"
JaNVr8rZ-Wc,1.245886597938144,6.315536082474231,1.28246391752577,0.1561134020618553,"[{'start': 1.7061855670103092, 'end': 1.7525773195876289}, {'start': 1.7989690721649483, 'end': 1.845360824742268}, {'start': 1.8917525773195876, 'end': 2.123711340206185}, {'start': 5.394329896907216, 'end': 5.440721649484535}, {'start': 5.487113402061856, 'end': 5.626288659793814}, {'start': 5.672680412371133, 'end': 6.762886597938144}, {'start': 6.809278350515464, 'end': 6.948453608247422}, {'start': 8.177835051546392, 'end': 8.20103092783505}, {'start': 8.293814432989691, 'end': 9.059278350515463}]","[{'start': 0.5, 'end': 1.7061855670103092}, {'start': 1.7525773195876289, 'end': 1.7989690721649483}, {'start': 1.845360824742268, 'end': 1.8917525773195876}, {'start': 2.123711340206185, 'end': 5.394329896907216}, {'start': 5.440721649484535, 'end': 5.487113402061856}, {'start': 5.626288659793814, 'end': 5.672680412371133}, {'start': 6.762886597938144, 'end': 6.809278350515464}, {'start': 6.948453608247422, 'end': 8.177835051546392}, {'start': 8.20103092783505, 'end': 8.293814432989691}, {'start': 9.059278350515463, 'end': 9.5}]","[{'start': 5.331, 'end': 6.733}]","[{'start': 0.5, 'end': 5.331}, {'start': 6.733, 'end': 9.5}]"
KyuGOQ6LwJE,2.5467634854771775,2.3701244813278004,0.6598755186721994,0.023236514522822382,"[{'start': 2.8701244813278004, 'end': 6.076763485477177}]","[{'start': 0.5, 'end': 2.8701244813278004}, {'start': 6.076763485477177, 'end': 6.1}]","[{'start': 3.53, 'end': 6.1}]","[{'start': 0.5, 'end': 3.53}]"
